"Mm.40828","Mm.203949","Mm.3879","Mm.316754","Mm.378976","Mm.234441","Mm.28291","Mm.380374","Mm.3258","Mm.297949","Mm.312593","Mm.248360","Mm.333725","Mm.6787","Mm.19669","Mm.25556","Mm.329123","Mm.209503","Mm.29625","Mm.380699","Mm.291225","Mm.29344","Mm.358692","Mm.380139","Mm.264984","Mm.15406","Mm.313351","Mm.45686","Mm.27447","Mm.25582","Mm.46251","Mm.362054","Mm.155058","Mm.291161","Mm.28559","Mm.334477","Mm.244226","Mm.126450","Mm.290116","Mm.350577","Mm.24021","Mm.345858","Mm.5048","Mm.379383","Mm.319204","Mm.23895","Mm.11869","Mm.371902","Mm.209150","Mm.25960"
0.65000723,0.12117145,-0.5992569,0.91397779,0.46490706,-2.6878655,-0.93913492,-1.8573557,-1.3126914,-2.4258192,-1.5691719,-1.476615,-2.3823282,-1.3505226,-0.9877009,-2.9668743,-2.8890701,-1.7200336,-1.1850387,-0.1632964,2.04192576,-2.5202127,-1.0695863,-0.7501426,-1.4087739,-1.9064183,-0.170501,1.69552967,0.55404331,-2.1730335,-1.9508383,-2.0792129,-2.4228305,-1.2015851,-2.5723421,-1.014499,-2.0953672,1.72988363,0.69190419,-3.491155,-0.8172872,-0.0965902,-0.2998463,1.68618971,-2.5270133,-0.8799707,1.1027278,-0.4724164,-2.6639308,0.42714532
0.7608147,0.23009955,-0.9193935,0.97647067,0.34617986,-3.2317799,-0.59337546,-1.6695786,-1.1697095,-2.1113222,-2.658796,-1.2205402,-2.1304361,-1.1042266,-1.1999164,-2.658796,-2.8568344,-2.6361217,-1.0880796,-0.0649378,1.42227605,-2.658796,-0.8440061,-0.8536473,-1.1708201,-2.658796,-0.5133543,1.57772245,0.37207863,-2.5818059,-3.4808447,-2.665378,-2.658796,-1.0409586,-2.658796,-1.3710056,-2.1392737,1.21119285,0.3687593,-2.1141637,-0.958518,-0.0647126,-0.5044259,1.16673991,-2.2338572,-1.0204065,0.53502183,-0.2220328,-3.6712077,0.5395058
0.65380504,-0.1607021,-0.7086162,1.11242564,0.34627554,-2.0157842,-1.647167675,-1.2859977,-1.3953105,-3.0623659,-1.6493841,-1.3878599,-3.0623659,-1.6498897,-1.1557278,-3.0623659,-2.8052137,-2.7197615,-1.1806295,-0.0309393,1.50942433,-2.2323902,-1.1169101,-0.2712316,-1.2725257,-2.6934284,-0.5086236,1.41734887,0.14382759,-2.6474942,-2.5324442,-1.7902711,-2.5736642,-1.4568408,-2.4413357,-1.016207,-2.3567498,1.10011438,0.35327092,-3.038673,-0.6396723,0.16423288,-0.4653955,1.09660595,-2.3783071,-0.607893,0.67919954,-0.4026311,-3.2678451,0.69817621
0.80372081,-0.0320326,-0.5143866,1.01745842,0.32009649,-2.7248693,-0.37649331,-1.3228284,-1.2599679,-3.0446341,-1.2772513,-1.1995461,-2.0938848,-1.6537291,-1.3347928,-2.9009882,-2.832495,-3.2712178,-1.2420247,-0.0624459,1.85658575,-3.9975685,-1.2997492,-0.2670489,-1.6698874,-3.0446341,-0.7927189,1.53789894,0.36627447,-3.5528738,-2.9095689,-3.3149229,-2.1184965,-1.405434,-2.7809967,-1.1605124,-2.8364242,1.57664433,0.27624215,-2.1974407,-0.8246756,0.0860663,-0.1591092,1.39949741,-2.1079214,-0.6829454,0.97954538,-0.5786657,-3.0446341,0.29080209
0.69408869,-0.1968937,-0.6125987,1.07118056,0.33214607,-3.6911891,-0.56665946,-1.8548074,-1.4324883,-2.938777,-1.4479515,-1.101305,-6.5361261,-1.4496154,-0.9107759,-2.159766,-2.5294246,-3.0488763,-1.2013945,-0.194668,1.43955785,-5.8131285,-1.1042448,-0.1889115,-1.3791659,-2.2957729,-0.5644953,1.55252979,0.57129517,-2.5086432,-2.899245,-3.3605893,-2.2942938,-1.698908,-2.9098598,-1.6073107,-2.3239661,1.08789341,0.19872084,-2.938777,-0.8470427,-0.0420043,-0.5493138,0.37631589,-2.3652104,-0.6986615,0.3210024,-0.2487363,-3.6020553,0.40963148
0.81760538,0.1319608,-0.9871941,0.99482948,0.25052246,-2.0459239,-0.49731474,-1.5242607,-1.3799727,-2.7213885,-1.5036322,-1.3986039,-2.1990221,-1.4379649,-1.2857721,-2.7213885,-2.4328427,-2.0841949,-1.1270044,-0.1189085,1.90005925,-4.9849639,-0.717983,-0.188525,-1.3478784,-2.7213885,-0.5930577,1.53642926,0.11569936,-2.9068931,-2.7708105,-3.0013728,-2.8218161,-1.5336391,-3.888142,-1.0851207,-2.2263399,1.62584151,0.384841,-1.7206298,-0.9357751,0.12117087,-0.5068177,1.61069937,-2.6589497,-0.6339962,1.31406051,-0.3448752,-2.7213885,0.6142587
1.07814584,0.23911289,-0.5476769,1.01563137,0.34671262,-3.2440364,-0.34391667,-1.6524576,-1.176702,-1.7025785,-1.6726379,-1.3316322,-3.2977482,-1.7296815,-1.9997381,-3.2977482,-2.4478246,-3.5121542,-1.4368447,0.06171926,2.3870349,-2.4831427,-0.8053347,-0.1924791,-1.8335538,-3.2977482,-0.5299988,1.61601546,0.04989622,-3.9528435,-1.7070921,-2.3739958,-1.3845782,-1.5424961,-1.9561225,-1.3831032,-3.9634704,1.93789132,-0.1913403,-1.8177332,-0.5012507,0.13402975,-0.3632434,1.81927746,-2.1823459,-0.6438529,1.50982055,-0.6435747,-3.3806938,0.63033523
0.66379686,-0.1414209,-0.7856678,1.13106581,0.32522805,-2.8518078,-0.986125145,-1.2648424,-1.3396777,-2.7111977,-1.6964397,-1.3283402,-2.3217297,-1.0719865,-1.2018909,-2.7111977,-2.5080642,-2.5580128,-1.0687035,0.10108303,1.60117354,-2.7111977,-0.9292467,-0.3123608,-1.4001936,-2.7111977,-0.3744687,1.36699861,-0.4571013,-2.198029,-3.164541,-3.2580844,-2.1070072,-1.6384184,-2.7943794,-1.1040369,-2.4130431,1.12423828,0.45613803,-2.7111977,-0.7490623,0.08787106,-0.5492011,1.14037441,-2.3889647,-0.7113382,0.88844524,-0.3220719,-2.7111977,0.35829577
0.62659012,-0.1880402,-0.6137821,0.76949395,0.29638787,-2.7402549,-0.430759715,-1.5284764,-1.4382377,-2.8951517,-1.2283251,-1.5782967,-2.1894263,-2.2630642,-0.9249273,-2.0062751,-2.448218,-2.4893961,-1.1088483,-0.140381,2.29410729,-2.3659142,-1.2529998,-0.4710078,-1.8046996,-1.4174789,-0.4224978,1.43671286,-0.4880129,-2.6852116,-2.7645809,-1.7584628,-2.7588877,-1.4905397,-2.5615091,-0.9214807,-2.9737435,2.08650198,0.60517027,-1.6580737,-0.8552347,0.00242778,-0.6075256,1.90351489,-1.9856105,-1.1268946,1.3382024,-0.5864769,-2.7657138,0.28025014
0.80634765,0.19204611,-0.6459082,0.96807227,0.10041248,-1.3155204,-0.449572925,-1.3282256,-1.3029787,-1.22111,-1.5338739,-1.5480348,-2.1126778,-1.7543738,-1.0396309,-2.2735775,-2.5584806,-2.3995205,-1.3430002,-0.2129945,2.04089877,-2.7473859,-0.7781977,-0.5143986,-1.1664567,-2.7473859,-0.6011717,1.41701288,-0.2577131,-2.4461037,-2.0341291,-1.0487175,-2.4470056,-0.9452581,-2.853426,-1.232003,-5.9630802,1.74824266,0.27524568,-1.0498839,-1.3510133,0.01403779,-0.3991079,1.57338995,-1.5761646,-0.5509169,0.9902241,-0.1910244,-2.8813361,0.62929109
