ID_REF	VADS_01047_N	VADS_01047_T_E	VADS_0135_T_M	VADS_0279_T_NM	VADS_065_T_NM	VADS_0888_T_M	VADS_1102_N	VADS_1107_N	VADS_0190_T_NM	VADS_209_T_M	VADS_435_T_E	VADS_834_T_E	VADS_856_T_NM	VADS_933_T_M	VADS_pool_N	VADS_pool_T_E	VADS_Pool_T_NM	VADS_Pool_T_M	VADS_0103_T_NM	VADS_0118_T_LR	VADS_0165_T_M	VADS_0167_T_NM	VADS_0203_T_M	VADS_0215_T_M	VADS_0218_T_M	VADS_0330_T_M	VADS_0357_T_NM	VADS_0408_T_M	VADS_0409_T_NM	VADS_0423_T_NM	VADS_0429_T_LR	VADS_0621_T_M	VADS_0629_T_M	VADS_0684_T_LR	VADS_0702_T_LR	VADS_0744_T_M	VADS_0829_T_M	VADS_0847_T_NM
1000_at	2912.6	1921.5	1799.1	1479.7	1274.5	1772.6	4421.9	5068.9	1606.3	1607.3	1778.7	2248.5	1524.6	1458.8	2618.5	1717.5	1702.2	1719.4	1664.4	1708.1	1793.8	1605	1481.5	1845.2	1479.1	1565.4	1746.4	993.6	1603.3	2391.1	1145.4	1417	1977	1634.1	1548.4	1710.1	1602.5	1550.9
1001_at	28.6	229.5	67.2	278.8	171.1	370.4	51.6	55.9	119.4	147.4	57.1	85	75.1	227.9	108.2	258.6	163.6	250.6	145.7	191.9	274.5	422.1	144.8	129.1	208.8	210.7	136.8	115.2	201.8	248.7	192.2	167.3	326.8	136.9	77.9	216.2	170.7	129.2
1002_f_at	146.1	116.2	348.2	62	37.7	136.9	206.7	333.2	249.3	178.6	229.7	105.1	18.1	256.4	36.2	74.6	54.1	33.1	124.5	35.5	14.9	63.9	63.4	55.6	35.3	24.3	34	42.1	17	113.2	35.2	25.6	13.5	72.1	18.6	28.9	175.6	54.5
1003_s_at	34.1	654.4	87.6	72.3	63.8	92.6	780.4	200.4	490	98.3	758.5	59	184.1	200.8	312.9	357.5	248.1	168.7	340.9	209.3	105.7	59	50.8	199.3	45.7	71.2	51.8	282.7	197.8	65.9	61.4	132.9	255.3	218	82.8	88.3	54.4	73.4
1004_at	166.5	156.9	273.6	77.7	225.3	135.1	224.2	344.4	344.4	312.8	353.9	203.2	42.4	450.7	342.9	415.4	299.5	252.7	233.2	237.2	324.9	312.9	207.4	249.2	117.6	254.8	143.1	234.6	269.4	212.2	33.9	248.4	134.4	146.2	223.8	269.6	127.6	165.4
1005_at	4124.1	5910.3	4091.8	2892.7	3797	1149.6	4714.4	2080	2120.9	20785.4	934.5	1410.1	4646.4	1302.5	4253.3	3400.5	5905.6	5391.4	3509.5	12184.2	831.4	4118	5759.7	4181.4	7326.7	5489.3	3442.5	3216.7	13711.1	2565.2	3720.6	2263.9	3714.1	2481.6	1055.9	4917.1	5322	1719.1
1006_at	57.8	1259.5	1573.1	606.2	2659.6	1532.9	54.1	75.6	266.6	109.3	2765.1	1084.8	246.3	1052.8	86.5	1798.1	1348.6	1102.4	216.3	3824.3	232.6	248.5	108.6	315.8	225	1867.2	14.4	1269	4946.6	633.1	451.7	21	2147.9	810.7	151.7	280.1	236.7	242.7
1007_s_at	4277.7	6165.9	4212.7	4935.9	5656.3	8260.7	6579.9	5695.9	2741.4	6023.5	7568.6	11647.6	3442.1	4734.2	6158.4	9556.4	7377.5	7701.3	6835.8	6756	5267.4	5490.3	8908.5	7773.9	7385.6	7265.3	10933.4	6198.6	6094.5	5658.6	6532.3	5444.6	9184.9	11517.9	16974	6653.6	5373	4768
1008_f_at	1947.1	3621.2	3757.5	4599.7	2708.7	1544.2	6073.3	4822.3	3917.9	3427	2862.4	2869	1850.5	2689.9	3092.4	12776.5	8927.7	5627.9	4124	5867.8	2690.4	3853.5	3537.2	6109	4285.8	6611.5	3068	4362.9	5292.8	6304.8	4535.6	4812.2	5236.1	2863.3	5151.6	5363.6	4421	2908.3
1009_at	9887.5	4504.8	4179.4	3547.2	5939.9	5065.4	10219.7	9522.6	8864.9	8643.8	4218.1	4707.6	10391.4	6001.4	5770.4	11856.3	5191.2	7367.7	7174.4	5798	4084	6343.8	4043.1	11283.1	7933.9	10610.1	6870.9	5982.8	6179.1	4941.1	7077.6	5763.4	5836.4	8843.6	7237	6475.5	6474.1	7039.3
100_g_at	3380.9	1954.4	1087.8	1515.3	1546	1552.3	3604.6	2184.6	1447.4	1455.6	1315.7	1458.8	2161.2	1602.5	2380.6	1486.8	1866.5	1240.7	1925.4	2549.8	1664.6	932.7	1412.3	1345.4	1455.7	1575	998.1	1025.5	1882.5	1689.5	1844.2	1156.2	990.6	1226	1381.6	1228.4	900.8	1134.3
1010_at	22.6	32.5	81.8	349.4	28.4	363.1	200.1	67.5	35.5	175.7	305.8	56.5	214.2	245.5	51.7	77.9	67.3	64.6	192.9	76.6	50.5	67.8	40.4	119	69.6	37.4	22.7	29.1	37.9	101.7	22.5	36.1	46.3	31.2	12.5	24.3	30.7	172.4
1011_s_at	1058.8	735.8	549	830.8	893.4	476.8	435.5	1120.3	620.2	624.8	763.2	554.4	824.7	522	606.7	1142.5	496.6	1715.4	748.4	506	490.5	396.4	1004.7	555.4	917	704	629.4	584.1	571.3	985	555.9	677.9	668.1	1089.6	584.1	375.5	1202.4	757
1012_at	55.4	29.4	62.3	130.3	101.3	209.7	173.4	284.2	275.8	70.2	224.9	64	41.6	116.9	182.6	38.1	155.5	9.2	13.9	33.6	41.3	63.1	11.6	41.4	28.9	55.5	19.3	11.2	45	47.9	15.2	55.6	47.9	10.5	43.1	17.1	63.9	35.5
1013_at	142.4	196.7	293.6	122.5	49.7	176.2	27	67.8	160.9	20.7	216.3	15.2	169.5	23	88.9	84.3	14.9	107.6	45.6	101.5	74.5	140	51.8	118.7	84.3	83.8	68.4	45.6	104.8	94.6	103.1	75.8	31.7	88.2	67.1	83.2	112.2	58.9
1014_at	1216.1	1612.1	1793.1	983.8	1396.3	1002.4	1139.7	1429	1615.2	1323.1	1223.4	1018.9	1135.1	1501.8	1327.1	1429.8	1496.8	1604.3	1279.2	971.1	1539.1	1334	1609.6	966.1	2213.3	1062	2230.1	1311.6	1373.7	966.7	1351.2	1575.4	1607.1	2808.3	2139.1	1523.1	1220.6	2003.3
1015_s_at	127	108.8	225.2	94.7	91.9	261.7	120.3	66.9	524.3	104.7	108.8	111.8	69.9	68.5	447.9	286.9	193.9	159.4	171.4	192.4	58.9	229.1	97.1	247.8	283.3	193.9	191.2	248.9	203.8	138.1	103.9	193.6	213.8	185.7	266.5	117.1	61.9	262.7
