n,d,tsne_fwd [s],compute cov [s]
10,10,7.818127632141113,5.0623767375946045
10,31,7.556574583053589,1.1611900329589844
10,100,7.656362056732178,1.182908535003662
10,316,6.399904489517212,1.3122308254241943
10,1000,6.099840402603149,1.3815946578979492
17,10,6.340393543243408,5.189249753952026
17,31,6.288830280303955,1.1845488548278809
17,100,6.2460198402404785,1.2662396430969238
17,316,6.498806953430176,1.2855322360992432
17,1000,6.337682485580444,1.2994635105133057
31,10,6.182030200958252,5.619189977645874
31,31,6.482825517654419,1.2565641403198242
31,100,6.326267957687378,1.333348274230957
31,316,6.297497510910034,1.3879344463348389
31,1000,6.346205234527588,1.5446996688842773
56,10,7.094867706298828,6.11779260635376
56,31,6.272424936294556,1.602583646774292
56,100,6.320997476577759,1.6506867408752441
56,316,6.433612823486328,1.7285401821136475
56,1000,6.285673141479492,2.3979644775390625
100,10,6.636406898498535,6.6492600440979
100,31,6.3105998039245605,2.208923578262329
100,100,6.460803985595703,2.1806044578552246
100,316,6.486979246139526,2.5419974327087402
100,1000,6.862716197967529,3.960894823074341
