n,d,tsne_fwd [s],compute cov [s]
10,10,6.471777439117432,7.8885180950164795
10,21,6.369491100311279,1.0896739959716797
10,46,6.368383884429932,1.170147180557251
10,100,6.314359426498413,1.1330161094665527
10,215,6.295062303543091,1.2224810123443604
10,464,6.312571287155151,1.2791848182678223
10,1000,6.487491607666016,0.9003474712371826
10,2154,6.450928688049316,1.039982795715332
10,4641,6.339500665664673,1.3399226665496826
10,10000,6.60783576965332,1.0529546737670898
21,10,6.55933141708374,8.321294069290161
21,21,6.337204694747925,1.3289031982421875
21,46,6.292921304702759,0.9275646209716797
21,100,6.6446123123168945,1.295400857925415
21,215,6.399466514587402,1.4627933502197266
21,464,6.300475597381592,1.1560478210449219
21,1000,6.410754203796387,1.2191953659057617
21,2154,6.472581624984741,1.6851437091827393
21,4641,6.413676977157593,1.8451251983642578
21,10000,6.664700508117676,1.4335992336273193
46,10,6.551753282546997,9.96010971069336
46,21,6.376911401748657,1.4144713878631592
46,46,6.349486351013184,1.3193440437316895
46,100,6.355062961578369,1.1872153282165527
46,215,6.388216018676758,1.3097848892211914
46,464,6.350926160812378,1.4950473308563232
46,1000,6.475280046463013,1.2700910568237305
46,2154,6.543258190155029,2.060145854949951
46,4641,6.577961444854736,1.8428871631622314
46,10000,6.621484756469727,2.1737825870513916
100,10,6.85917329788208,9.577073335647583
100,21,6.423571348190308,1.8160755634307861
100,46,6.430527448654175,1.993591547012329
100,100,6.4296875,1.643019676208496
100,215,6.355058670043945,1.7664954662322998
100,464,6.50257682800293,2.0869269371032715
100,1000,6.501971006393433,2.0844101905822754
100,2154,6.43680739402771,2.3939476013183594
100,4641,6.50900411605835,3.4886767864227295
100,10000,6.753041982650757,4.533189296722412
215,10,6.730482578277588,12.3842191696167
215,21,6.534159898757935,4.080872297286987
215,46,7.032532453536987,4.294213533401489
215,100,6.882217645645142,4.412407636642456
215,215,6.868252515792847,4.8108673095703125
215,464,7.347079753875732,5.3329761028289795
215,1000,7.072539806365967,6.39976954460144
215,2154,7.125075340270996,7.090493440628052
215,4641,6.864284515380859,11.075228452682495
215,10000,7.002279758453369,18.278103590011597
464,10,8.749802589416504,24.410005807876587
464,21,11.142413139343262,19.11474108695984
464,46,10.671841144561768,17.92211937904358
464,100,10.75743579864502,18.260451555252075
464,215,10.258643627166748,19.57277774810791
464,464,11.54678726196289,21.054912090301514
464,1000,10.672603368759155,31.776625633239746
464,2154,10.099493265151978,32.51695203781128
464,4641,10.773462057113647,47.507944107055664
464,10000,9.85993480682373,87.95065021514893
1000,10,15.953583240509033,148.2650671005249
1000,21,46.23915696144104,121.78402638435364
1000,46,36.27717661857605,145.3085961341858
1000,100,39.2537260055542,119.87989664077759
1000,215,35.813483476638794,129.65301895141602
1000,464,43.895591020584106,120.743825674057
1000,1000,40.19436287879944,160.4725706577301
1000,2154,42.5339617729187,166.91698217391968
1000,4641,33.4035427570343,249.93538904190063
1000,10000,38.085853815078735,434.3694067001343
2154,10,49.85738158226013,1109.3247623443604
2154,21,360.44842004776,1256.4724266529083
2154,46,514.100150346756,1293.7545907497406
2154,100,365.86442613601685,1312.0663177967072
2154,215,388.3062741756439,1518.35391497612
2154,464,376.2019565105438,1459.274745941162
2154,1000,382.5475227832794,1696.9950637817383
2154,2154,440.0562767982483,1773.1276695728302
2154,4641,450.43609166145325,2449.050137758255
2154,10000,441.44330978393555,3378.0420932769775
